yamamotomizuki,O
Computer,X
~~BEGIN~~
1,O,5,3
2,X,6,5
3,O,6,6
4,X,4,3
5,O,3,3
6,X,4,2
7,O,3,1
8,X,6,7
9,O,4,6
10,X,2,2
11,O,2,4
12,X,4,1
13,O,1,1
14,X,1,5
15,O,7,5
16,X,6,4
17,O,5,7
18,X,4,7
19,O,7,3
20,X,8,6
21,O,4,8
22,X,6,8
23,O,3,7
24,X,2,8
25,O,2,6
26,X,2,1
27,O,5,1
28,X,8,2
29,O,6,3
30,X,6,2
31,O,8,4
32,X,6,1
33,O,7,1
34,X,2,7
35,O,1,7
36,X,2,5
37,O,2,3
38,X,3,2
39,O,7,6
40,X,8,5
41,O,5,6
42,X,8,3
43,O,7,4
44,X,1,3
45,O,1,4
46,X,3,8
47,O,1,8
48,X,7,7
49,O,8,8
50,X,3,4
51,O,8,7
52,X,1,2
53,O,8,1
54,X,7,8
55,O,3,6
56,X,3,5
57,O,5,8
58,X,5,2
59,O,1,6
61,O,7,2
~~END~~
WHITE,48
BLACK,16

