AI,O
Computer,X
~~BEGIN~~
1,O,5,3
2,X,6,5
3,O,6,6
4,X,4,3
5,O,7,5
6,X,8,5
7,O,5,6
8,X,6,7
9,O,7,7
10,X,8,8
11,O,3,5
12,X,6,3
13,O,6,2
14,X,6,1
15,O,7,3
16,X,8,3
17,O,6,4
18,X,2,6
19,O,7,2
20,X,8,1
21,O,6,8
22,X,7,4
23,O,3,3
24,X,2,2
25,O,3,4
26,X,5,7
27,O,8,4
28,X,2,3
29,O,7,1
30,X,4,2
31,O,1,3
32,X,5,2
33,O,3,6
34,X,2,4
35,O,1,7
36,X,3,7
37,O,1,2
38,X,1,6
39,O,1,4
40,X,1,8
41,O,2,1
42,X,1,1
43,O,3,2
44,X,3,1
45,O,5,8
46,X,1,5
47,O,7,6
48,X,4,7
49,O,4,8
50,X,8,6
51,O,8,7
52,X,5,1
53,O,3,8
54,X,7,8
55,O,4,1
56,X,2,8
57,O,4,6
58,X,8,2
59,O,2,7
60,X,2,5
~~END~~
WHITE,20
BLACK,44

