tanaka ryoya,O
Computer,X
~~BEGIN~~
1,O,5,3
2,X,6,3
3,O,6,4
4,X,4,3
5,O,3,2
6,X,6,5
7,O,7,6
8,X,3,3
9,O,3,4
10,X,2,3
11,O,1,4
12,X,3,1
13,O,2,4
14,X,1,3
15,O,1,2
16,X,8,7
17,O,7,3
18,X,4,2
19,O,5,2
20,X,8,3
21,O,5,1
22,X,3,5
23,O,7,4
24,X,6,2
25,O,6,1
26,X,8,4
27,O,6,6
28,X,5,6
29,O,5,7
30,X,7,2
31,O,2,5
32,X,4,6
33,O,7,5
34,X,8,6
35,O,8,1
36,X,1,5
37,O,4,1
38,X,1,1
39,O,8,5
40,X,7,1
41,O,8,8
42,X,6,8
43,O,2,1
44,X,2,2
45,O,8,2
46,X,6,7
47,O,5,8
48,X,4,8
49,O,4,7
50,X,3,8
51,O,2,6
52,X,3,7
53,O,3,6
54,X,7,7
55,O,7,8
57,O,2,8
58,X,2,7
59,O,1,7
60,X,1,6
62,X,1,8
~~END~~
WHITE,43
BLACK,21

